Transaction_Amount,Is_International,Is_Midnight,User_Age,Is_Fraud
46.92680899768591,0,0,45,0
301.0121430917521,0,0,39,0
131.67456935454493,0,0,62,0
91.29425537759532,0,0,33,0
16.962487046234628,0,0,30,0
16.959629191460518,0,1,53,0
5.983876860868068,0,0,53,0
201.12308644799396,0,0,60,0
91.90821536272645,0,0,40,0
123.12500617045903,0,0,31,0
2.0799307999138623,0,1,49,0
350.3557475158312,0,0,20,0
178.6429543354675,0,1,44,0
23.8687625248947,0,0,36,0
20.067898874966335,0,0,39,0
20.261142283225706,0,0,18,0
36.27537294604771,0,0,22,0
74.39278308608544,0,0,66,0
56.55370667803366,0,0,50,0
34.42229925539415,0,0,68,0
94.63708738997987,0,0,36,0
15.023452872733866,0,0,53,0
34.551551200240226,1,1,68,0
45.6277218220847,0,0,23,0
60.893468785977504,1,0,32,0
153.7936011030912,0,0,53,0
22.273586212869027,0,1,50,0
72.20291550331277,0,1,41,0
89.75047213097605,0,0,44,0
4.756384975640855,0,0,66,0
93.533302064961,0,0,28,0
18.696125197741644,0,1,66,0
6.726393087930424,0,1,40,1
297.3687793506931,0,1,50,0
337.06303424611724,0,0,58,0
165.23315728128767,0,0,63,1
36.32878599687583,0,1,64,1
10.277731500250624,1,0,46,0
115.27507630986618,0,0,48,0
58.009084258539836,1,0,18,0
13.015223395444863,0,1,51,0
68.35472281341501,0,0,35,0
3.4993721443479084,0,0,35,0
240.04228873930236,0,0,23,0
29.94577768406861,0,0,69,0
108.62557985649804,0,0,57,0
37.354658165762366,0,0,18,0
73.41108959092286,0,0,64,0
79.12237979817975,0,0,59,0
20.438859950790576,0,1,47,0
349.28071327362267,0,0,21,0
149.22453771381407,0,0,49,0
280.50944192915824,0,1,27,0
225.21519975341965,0,0,60,0
91.1054412383275,0,0,22,0
254.9435379269405,0,0,26,0
9.265545895311563,0,0,22,0
21.813469463126744,0,0,28,0
4.628196568683196,0,0,52,0
39.35320868030868,0,0,44,0
49.21302917942186,1,0,21,0
31.65604432088257,1,0,27,0
176.45578652409338,0,0,56,0
44.12269995298701,0,0,50,0
32.98028401342492,0,0,55,0
78.2407083207746,0,0,25,0
15.189814782062886,0,0,66,0
162.04835957747312,0,0,41,0
7.747586881130901,1,0,56,0
433.41463395873194,0,1,50,0
147.94837762415114,0,1,58,0
22.153944050588596,0,0,60,0
0.5537420375935475,0,0,36,0
168.9896777486126,0,0,19,0
122.70959073870446,1,1,28,0
130.5662908787999,0,0,52,0
147.52145260435134,0,0,34,0
7.692926551379635,0,0,59,0
44.38926724162325,0,0,20,0
12.315010460444965,0,1,39,0
198.85295716582226,0,0,52,1
97.63011917123741,0,0,38,0
40.1818801251301,0,0,42,0
6.566806580478289,0,0,56,0
37.24883504103537,0,0,19,0
39.331421318413135,0,0,18,0
130.7875783957741,0,0,24,0
101.488935892602,0,0,37,0
218.22519124015147,0,0,60,0
63.90661333763098,0,0,23,0
12.73723936155019,0,0,53,0
124.91263443165994,0,0,68,0
143.0392753076864,0,0,38,0
82.38874948858287,0,0,68,0
147.38899667213644,0,0,63,0
68.0814731510278,0,0,52,0
73.9678838777267,0,0,53,0
55.781419390842736,0,0,25,0
2.574777399011373,0,0,67,0
11.416743519186584,0,0,21,0
3.1933681293053824,0,1,60,0
101.17295509275495,0,0,33,0
37.73967087950999,0,1,20,0
71.04371771341901,0,0,24,0
238.12655298459754,0,0,19,0
28.673882298329833,0,0,18,0
52.82819748826726,0,0,18,0
140.87491475385835,0,0,55,0
25.980515691739402,0,0,68,0
8.010427855017637,1,0,24,0
34.21403038870571,1,0,41,0
17.580835850006284,0,0,22,0
265.4950085880625,0,0,38,0
165.08870804845694,0,0,45,0
100.34941905205311,0,0,35,0
205.1519730520813,0,0,41,0
162.79689407405564,0,0,49,0
20.649547635863907,0,0,62,0
223.0813405235561,0,0,50,0
77.5099901966172,0,0,27,0
